
## music.csv
10020002	頭腦清晰	每達成 {0} 個節奏圖示，有 {1}% 機率<br>在 {2} 秒內讓 μ's 節奏圖示分數增加 {3}。
10020003	大家的人氣王	每達成 {0} COMBO，有 {1}% 機率<br>在 {2} 秒內讓節奏圖示分數增加 {3}。
10020004	運動神經出眾	每達成 {0} 個節奏圖示，有 {1}% 機率<br>在 {2} 秒內讓節奏圖示分數增加 {3}。
10020005	責任感	每達成 {0} 次 PERFECT，有 {1}% 機率<br>在 {2} 秒內讓節奏圖示分數增加 {3}。
10020006	學生會長	每達成 {0} 個節奏圖示，有 {1}% 機率<br>在 {2} 秒內讓 PERFECT 判定範圍擴大 {3} 階段。

## character.csv
1001	高坂穗乃果	μ'sの発起人。いつも笑顏でとにかく元気が取り柄。多少の困難があっても持ち前の超ポジティブシンキングで次々と突破していく。
1002	絢瀨繪里	ロシア人のクォーター。頭脳明晰、運動神経抜群、何をやらせてもそつなくこなす。学校でも人気抜群で、責任感が強く、生徒会長を務めている。
1003	南小鳥	おっとりと柔らかい性格で、勉強もそつなくこなす優等生。おっとりとはしているが芯は強く、物おじしない。穗乃果の一番の友人。
1004	園田海未	凜とした雰囲気を漂わせる大和なでしこ。子供の頃から弓道で鍛えられ、礼儀作法も完璧な女の子。悪事や怠けるといったことが大嫌い。穗乃果、ことりとは幼馴染。
1005	星空凜	體育会系でいつも明るく、くよくよ悩むより身體を動かすタイプ。體育会系だけあって面倒見はよく、いつも幼馴染の花陽の面倒を見ている。
1006	西木野真姬	高飛車でプライドが高く、本心を見せるのが苦手。持ち前の度胸で上級生にも強気で渡り合う。実はさみしがりな一面も。
1007	東條希	マイペースな性格で、関西弁まじりの独特の口調で話す。おおらかさがあり全成員中、実は精神年齢は一番上と思わせる所も。
1008	小泉花陽	クラスでもあまり目立たない、おとなしい女の子。自信がなく、何をやろうとしても諦めてしまいがち。白いご飯が大好物。
1009	矢澤妮可	アイドルを目指して日夜励んでいる、正真正銘のアイドルオタク。「にっこにっこにー」が合言葉。
2001	高海千歌	Aqoursの発起人。人懐っこく負けず嫌い。持ち前の明るさと強引さで周囲を次々に巻き込んでいく。
2002	櫻內梨子	大人っぽく落ち着いて見えるが実は慌て者で早とちりや勘違いをしてしまうことも。
2003	松浦果南	大人っぽくサバサバした性格で、あまり物事にこだわりがない。落ち着いていて、どこかクールな雰囲気を纏っている。
2004	黑澤黛雅	旧網元で地元でも有名な名家の子女で、学院の生徒会長を務める。プライドが高い完璧主義者で、中途半端や曲がったことは絶対に許さない。
2005	渡邊曜	考えるよりも先に身體が動くタイプ。フェリーの船長を父に持ち、自身も将来は船長になりたいと思っている。
2006	津島善子	小悪魔風のファッションに身を包み、自らを"堕天使ヨハネ"と称する。都会の沼津出身。明るく物おじせず、気が利いて頭も良いが、ものすごく運が悪く、行く先々で想定外の
2007	國木田花丸	読書好きで、特に日本文学をこよなく愛する文学少女。歌が得意で聖歌隊に所属している。周囲の人々に気を配る優しい性格。
2008	小原鞠莉	ホテルチェーンを経営するイタリア系アメリカ人の父を持つハーフ。明るい性格で、個人行動が多い。どんなことがあっても絶対にめげない性格で、恐れを知らないチャレンジャ
2009	黑澤露比	泣き虫で臆病だけれど、名家のお嬢様だけあって芯は持っている。ずっとアイドルにあこがれていた。唯一の得意は裁縫。
3001	上原步夢	何事にもコツコツ取り組む努力家。あることをきっかけに學園偶像をはじめる。
3002	中須霞	かわいいものが大好きで、學園偶像に対する憧れは人一倍強い。負けず嫌いな性格で、「かすかす」というあだ名で呼ばれると怒る。
