_id,_textJa,_textEn,_masterReleaseLabelId
Common_Exchange,交換,交換,1
Common_Filter,篩選,篩選,1
Common_Sort,排序,排序,1
Common_AllSelect,全部選擇,全部選擇,1
Common_AllRelease,完成 all,All cancellation,1
Common_Sunday,Sunday,Sunday,1
Common_Monday,Monday,Monday,1
Common_Tuesday,Tuesday,Tuesday,1
Common_Wednesday,Wednesday,Wednesday,1
Common_Thursday,Thursday,Thursday,1
Common_Friday,Friday,Friday,1
Common_Saturday,Saturday,Saturday,1
Common_Daily,每日,每日,1
Common_Weekly,每週,每週,1
Common_MusicArtistLabel,演唱,歌曲,1
Common_MusicLyricistLabel,Lyricist,作詞,1
Common_MusicComposerLabel,作曲,作曲,1
Common_MusicArrangerLabel,編曲,編曲,1
Common_MusicArtistFormat,演唱: {0},歌曲: {0},1
Common_MusicLyricistFormat,作詞: {0},作詞: {0},1
Common_MusicComposerFormat,作曲: {0},作曲: {0},1
Common_MusicArrangerFormat,編曲: {0},編曲: {0},1
Common_MusicDetail,作詞: {0}<br>作曲: {1},作詞: {0}<br>作曲: {1},1
Common_CardFullName,[{0}] {1},[{0}] {1},1
Common_CardFullName2Line,[{0}]<br>{1},[{0}]<br>{1},1
Common_Rare1,R,R,1
Common_Rare2,SR,Sr,1
Common_Rare3,UR,UR,1
Common_Rare4,UR,UR,1
Common_Present,禮物盒,present,1
Common_Reward,獎勵,獎勵,1
Common_Receive,Claimed {0}.,I received {0},1
Common_Nothing,None,none,1
Common_RoleVocal,Vocals,vocal,1
Common_RoleGuitar,Vocals,vocal,1
Common_RoleBass,Bass,base,1
Common_RoleDrum,Drums,drum,1
Common_RoleKeyboard,Keyboard,keyboard,1
Common_RoleSupport,Support,support,1
Common_TypeHeart,Smile,Smile,1
Common_TypeDiamond,Pure,pure,1
Common_TypeClover,,#VALUE!,1
Common_TypeSpade,Cool,cool,1
Common_MainStory,Main 劇情,Main 劇情,1
Common_SubStory,Side 劇情,Sub劇情,1
Common_EventStory,Event 劇情,Event 劇情,1
Common_EventPoint,{0} pts,{0} pts,1
Common_EventCurrency_ChallengeLive,{0},{0} pieces,1
Common_EventCurrency_LiveTry,{0},{0} pieces,1
Common_EventCurrency_VsLive,{0},{0} person,1
Common_EventCurrency_MultiLive,{0},{0} person,1
Common_RankingRank,Rank {0},{0} position,1
Common_RankingRankOut,Out的排行榜,Outside area,1
Common_CountBadge,{0},{0},1
Common_CountBadgeOverLimit,{0}+,{0}+,1
Common_SkipUntilNextDay_Zero,Hide this window until 12 am next day.,Do not 顯示 this window until 0:00 next day,1
Common_SkipUntilNextDay_Login,Hide this window until 4 am next day.,Do not 顯示 this window until 4:00 next day,1
Common_DoNotDisplayAfter,Do not show this window 再次.,In 未來，this window will not be 顯示,1
Common_Percent,{0}%,{0}%,1
Common_Piece,{0},{0} pieces,1
Common_All,ALL,All,1
Common_Other,Liella!,Liella!,1
Common_XJAPAN,μ's,μ's,1
Common_LUNASEA,Aqours,Aqours,1
Common_GLAY,虹咲,Rainbowzaki,1
Common_GroupOther,Other,others,1
Common_Grade,Year {0},{0} grade,1
Common_DifficultyNormal,NORMAL,NORMAL,1
Common_DifficultyHard,HARD,Hard,1
Common_DifficultyExpert,EXPERT,Expert,1
Common_DifficultyMaster,MASTER,Master,1
Common_StatusOfAchievement,Status,Progress,1
Common_Achieved,Achieved,Already achieved,1
Common_NotAchieved,Not completed,Not Achieved,1
Common_ExpirationDate,Expiration Date,date的expiry,1
Button_Close,關閉,close,1
Button_Ok,確定,確定,1
Button_Next,下一步,至 next,1
Button_Cancel,取消,cancel,1
Button_Decide,確認,Decision,1
Button_Update,更新,更新,1
Button_Retry,重試,retry,1
Button_Return,返回,return,1
Button_VoiceOn,Voices On,There is voice,1
Button_VoiceOff,Voices Off,No voice,1
Button_Resume,Resume,Resume live,1
Button_Suspend,Quit,End live,1
Button_Skip,跳過,skip,1
Button_Restart,Restart,Restart live,1
Button_Shop,商店,商店,1
Button_Home,Home,home,1
Button_BuyGem,Purchase 愛心寶石,To purchase的Loveka,1
Button_PresentBox,禮物盒,To present,1
Button_Chat,Chat,To chat,1
Button_Release,Unlock,release,1
Button_Apply,Apply,Application,1
Button_Edit,Edit,edit,1
DueDate_DialogTitle_PresentBox,Expires,Deadline為receipt,1
DueDate_DialogCaution_PresentBox,*Unclaimed 道具 will be lost.,* If you cannot 獲得 it， 道具 will disappear,1
DueDate_Dialog_ItemNum,Amount: {0},Number: {0},1
DueDate_DialogTitle_Item,道具 Expiring Soon,道具 near expiration date,1
GachaTop_PeriodTime,Until {0} {1},Until {0} {1},1
GachaTop_PriceTitle,{0} 招募,{0} Solicow,1
GachaTop_PriceTitleChargeGem,{0} 招募 (付費),{0} Solicow (付費),1
GachaTop_PriceTitleFree,{0} 免費 招募,免費 {0} recruitment為free,1
GachaTop_Price_Free,免費,free,1
GachaTop_BuyButton_Balloon_Daily,<color=#f93981>{0} times per day.</color><br>Resets at 12 am.,<color =#f93981> 1 day {0} times </color><br>更新d every day,1
GachaTop_BuyButton_Balloon_ReritySR,1 <color=#f93981>SR 或 Better</color><br>Guaranteed!,<COLOR =#f93981> SR 或 more </color><br>One person is confirmed!,1
GachaTop_BuyButton_Balloon_RerityUR,<color=#f93981>1 UR Guaranteed!</color>,<color =#f93981> UR one person is confirmed！</color>,1
GachaTop_BuyButton_Balloon_BonusItem,Comes與Extra<br>道具 獎勵!,道具<br>With bonus!,1
GachaTop_BuyButton_Balloon_Free,{0} 招募 免費!,{0} free!,1
GachaTop_BuyButton_Balloon_Limit,{0}x Limit During Event!,Only 期間 期間 {0} times!,1
GachaTop_LimitDailyOnce,Once per Day,Limited1次 day,1
GachaTop_LimitDailyAny,<color=#FD8E18>{0} times per day.</color><br>Resets 每日 at 12 am.,<color =#fd8e18> 1 day {0} times </color><br>更新d every day,1
GachaTop_LimitCountOnce,One Time Only,One -time limited,1
GachaTop_LimitCountAny,{0}x remaining,And {0} times,1
GachaTop_LimitDailyOnceCountAny,{0} More<br><color=#FD8E18>(Once per Day)</color>,And {0} times<br><color =#fd8e18> (only1次 day) </color>,1
GachaTop_LimitDailyAnyCountAny,{0} More<br><color=#FD8E18>({1} More Today)</color>,And {0} times<br><color =#fd8e18> (today與{1} times </color>,1
GachaTop_EnsureRareOnly,{1} {0} Guaranteed!,{0} {1}},1
GachaTop_EnsureRareOverContains,{1} {0} 或 Better Guaranteed!,{0} 或 more {1} person confirmed!,1
GachaTop_LimitOver,Limit reached.,upper limit has reached,1
GachaTop_LimitOverDailyRepeat,Resets after<br>12 am.,It will be updated<br>,1
GachaTop_LimitEnd,Limit has been reached.,It's over,1
GachaTop_LimitStepup,Step up limit reached.,number的steps is reached,1
GachaTop_MemberDetailCaution,* stats shown為each 成員 are those at max 等級與max Idolized state.<br>* skill effects shown are為max 等級 skills.,* Each status shows maximum awakening與maximum 等級 value.<br>* Special skills indicate maximum effects的special skill 等級.,1
GachaTop_GachaDetailCaution,,,1
GachaTop_MemberDetailPhotoButtonEvolveBefore,Before Idolizing,Change before awakening,1
GachaTop_MemberDetailPhotoButtonEvolveAfter,After Idolizing,Change after awakening,1
GachaTop_BannerRemainTimeFormat,<size=85%>{0}<size=100%>left,<Size = 85%> And <size = 100%> {0},1
GachaTop_RateFormat,{0}%,{0}%,1
GachaTop_MemberRateFormat,f4,f4,1
GachaTop_RarityRateFormat,f2,f2,1
GachaTop_Step,STEP {0},STEP {0},1
GachaTop_StepCount,<size=59><color=#f93981>{0}</color><size=32>/{1},<size = 59> <color =#f93981> {0} </color> <size = 32>/{1},1
GameClose_Button_Album,Album,album,224031103
GameClose_Button_Information,Information notation,information,224031103
GameClose_Button_TitleList,稱號,稱號,224031103
GameClose_InformationNote,Information notation,Information notation,224031103
GameClose_Inquiry,Inquiry,inquiry,224031103
GameClose_PaidGem,Possessed 付費愛心寶石,Palace Loveka,224031103
GameClose_Payback,Refund,Refund,224031103
GameClose_Payback_CopyMessage,Copied 你的ID，Refund Code，與 內容的愛心寶石 you possess,Copy 內容的ID，refund code，與 ownership Labka,224031103
GameClose_Payback_CopyText,ID {0}</br>Refund Code {1}</br>付費愛心寶石 you possess {2},ID {0}<br>Refund code {1}<br>Poleding Labka {2},224031103
GameClose_PaybackCode,Refund Code,Refund code,224031103
GameClose_UserId,ID,ID,224031103
GachaTop_BonusCount,<size=35><color=#f93981>{0}</color>,<size = 35> <color =#f93981> {0} </color>,1
GachaTop_BonusCount_Dialog,<size=40><color=#f93981>{0}</color>,<size = 40> <color =#f93981> {0} </color>,1
GachaTop_HasAmount,(Held: {0}),(Possession {0}),1
GachaTop_LimitDailyOnceChargeGem,付費愛心寶石 only！Resets 每日 at 12 am.,付費 Loveka Limited！更新d every day at midnight,1
GachaTop_BonusReward,{0} Included 免費!,{0}與bonus!,1
GachaTop_RunButtonText,<size=50>{0}<size=32> 招募,<size = 50> {0} <size = 32> recruitment,1
GachaTop_RunButtonDialog_Title,招募券,Solicitation ticket,1
GachaTop_RunButtonDialog_TopButton,票券,ticket,1
GachaTop_RunButtonDialog_Caution,*Expired 票券 cannot be used為招募.<br>*票券 can be used為你的currently 選擇ed 招募.<br>*票券 can be used至招募 same content as 愛心寶石 (10-招募券 are same as 10 招募).,* If ticket expires，solicitation cannot be made.<br>* 曜 can make solicitation you are currently 選擇ing<br>* 曜 can solicit it與same content as 當 you use Labka (10 times solicitation tickets are applied至same as 10 times).,1
GachaPlay_DialogOk,確定,確定,1
GachaPlay_DialogInfomation,*道具 acquired after exceeding 道具 limit will be sent至你的禮物盒.,* 道具 acquired beyond upper limit的possession will be sent至gift.,1
GachaConfirm_DialogTitle,確認,confirmation,1
GachaConfirm_Period,Event Period:,Holding 期間:,1
GachaConfirm_Count,{0} times,{0} times,1
GachaConfirm_TicketText,"使用 {1} ""{0}""<br>至 招募 {2} {3} times?",Do you want至solicit {{0} '{1} sheets與recruit {3} times與{2}?,1
GachaConfirm_GemText,使用 {0} 愛心寶石<br>至 招募 {1} {2} times?,Do you use {0} Loveka至solicit {2} times與{1}?,1
GachaConfirm_InfoText,使用 {1} {0}<br>至 招募 {2} times?,Do you use {1} {0}至solicit {2} times?,1
GachaConfirm_ConsumeLackText,不足 {0}.,{0} is insufficient.,1
GachaConfirm_Buy,Complete purchase?,Do you want至buy?,1
GachaConfirm_Gem,愛心寶石,Labka,1
GachaConfirm_ChargeGem,付費愛心寶石,付費 Loveka,1
GachaConfirm_BuyButton,PURCHASE,Purchase,1
GachaConfirm_GachaButton,SCOUT,Solicit,1
GachaResult_RemainingAny,more times,After while,1
GachaResult_RemainingDailyAny,more times today,Today's left,1
GachaResult_TutorialSelectPhoto,Tap 成員 you like best.,Please touch 你的favorite 成員,1
GachaResult_GetPoint,"<font=""FOT-TsukuGoPr5-M SDF"">Acquire</font> {0} pts",{0} pt <font = 'fot-tsukugopr5-m SDF'> acquisition </font>,1
GachaResult_ResultPoint,{0} → {1},{0} → {1},1
GachaResult_Exchange,道具 Exchange,Exchange,1
GachaResult_GetOverMemberMessage,"If 成員 has already been recruited,<br>you will 獲得 螢光棒 instead.",If 成員 have already joined<br>曜 can get penlight instead的成員,1
GachaResult_LimitBreakNoteText,* new 成員 has been recruited!,* new 成員 has joined!,1
GachaDetail_TabTitle,招募 Details,Solicitation details,1
GachaDetail_DialogTitle,招募 Details,Solicitation details,1
GachaDetail_Help,Important Notes,Notes,1
GachaDetail_GachaInfo,招募 Info,Solicitation outline,1
GachaDetail_Terms,Event Period,Period,1
GachaDetail_NewMember,New 成員 Introduction,Introducing new 成員,1
GachaDetail_Step,STEP {0},STEP {0},1
GachaRateDetail_TabTitle,招募 Rate,Appearance ratio,1
GachaRateDetail_DialogTitle,招募 Details,Solicitation details,1
GachaRateDetail_Help,Important Notes,Notes,1
GachaRateDetail_RarityRate,招募 Rate透過Rarity,Appearance透過稀有度,1
GachaRateDetail_RarityRateUnensure,招募 Rate {0},Appearance ratio {0},1
GachaRateDetail_RarityRateEnsure,Guaranteed 招募 Rate {0},確認ed appearance ratio {0},1
GachaRateDetail_Main,演唱會 Leader,演唱會於付費,1
GachaRateDetail_Support,Support,Support 付費,1
GachaRateDetail_RarityRateMember,成員 List,List的appear 成員,1
GachaRateDetail_RarityRateUnensureMember,成員 List {0},List的appear 成員 {0},1
GachaRateDetail_RarityRateEnsureMember,成員 List {0},List的appear 成員 {0},1
GachaFixedRateDetail_TabTitle,10-招募 Final Slot Rate,10th frame appearance ratio的10 times,1
GachaFixedRateDetail_TabTitleStepup,10-招募 Final Slot Rate,10th frame appearance ratio的10 times,1
GachaPickUpMemberDetail_TabTitle,成員 Details,Details的成員,1
GachaPickUpMemberDetail_DialogTitle,Spotlight 成員 Details,Pickup 成員 details,1
Consume_HasConsumeName,Hold,number的possession,1
Consume_UseConsumeName,Required,Required number,1
Consume_PriceTitleChargeGem,{0} 招募<br>(付費 Only),{0} deducted<br>(付費 only),1
Consume_InfoOnConsumeMedal ,Note: 免費愛心寶石 will be used first.,* Preliminary consumed來自Loveka free的付費,1
WaitingMemberList_SealNumWordText,招募 Points Held,Having solicitation point,1
WaitingMemberList_SealReplacementShopButton,道具 Exchange,Exchange,1
WaitingMemberList_AllSelectButton,全選,全選,1
WaitingMemberList_SelectCharaNumWord,已選擇,已選擇,1
WaitingMemberList_SealChangeButton,Remove 成員,Portion,1
WaitingMemberList_EmptyChara,There are no 成員 who can be removed.,There is no 成員 who can switch,1
WaitingMemberList_ItemGetNum,No。Received,Number的acquisitions,1
WaitingMemberList_CanGetItem,道具至Receive,道具 that can be acquired,1
WaitingMemberList_ChangeResultShortMessage,Received {0} 螢光棒.,I got penlight {0} 個別,1
WaitingMemberList_ChangeDialogTitle,確認,confirmation,1
WaitingMemberList_ChangeDialogConfirm,By saying goodbye至{0} 成員(s)來自waiting room，you will 獲得 {1} Pen Lights.,reception room 成員 is {0}與penlight is acquired透過{1},1
WaitingMemberList_ChangeDialogCharaNumWord,Cards,Sheet,1
WaitingMemberList_ChangeDialogSealNumWord,Stickers,Individual,1
WaitingMemberList_ChangeDialogTotalSealWord,♪ Stickers,♪ Seal,1
CardIcon_LvWord,Lv.,Lv.,1
CardIcon_NumWord,x,x,1
CardIcon_SkillLvWord,Skill Lv.,Skill Lv.,1
CardIcon_HpWord,HP:,HP:,1
CardIcon_EventBonusWord,Bonus:,Bonus:,1
CardIcon_EventBonusParam,+{0}%,+{0}%,1
CardIcon_BonusParam,<size=20>+</size>{0}%,<size = 20>+</size> {0}%,1
CardIcon_UnlockNotJoin,Not Recruited,Not joining,1
Practice_EmptyItem,曜 do not have<br>any 練習 Notebooks.,練習 notes<br>I don't have it,1
Practice_ExpWord,下一步:,After,1
Practice_ResetButton,Reset,reset,1
Practice_RecommendButton,Auto,隨機,1
Practice_Max,MAX,MAX,1
Practice_Gold,{0},{0},1
Practice_ItemSelect,選擇道具,選擇道具,1
Practice_NeedItem,Required 道具,Required 道具,1
Practice_ItemShortageAlert,曜 do not have enough的required 道具.,There is shortage的道具,1
Practice_LevelMaxAlert,曜 have already reached maximum 等級.,等級 is maximum,1
SkillPractice_EmptyChara,This will 交換 {0} 成員<br>為 {1} 螢光棒.<br>Proceed?,waiting room 成員 {0} will be replaced與person<br>Penlight {1} sheet<br>Are you sure?,1
SkillPractice_EmptyItem,曜 do not have<br>any 技能筆記.,Skill book<br>I don't have it,1
SkillPractice_SamePhotoBonus,Same 成員 Bonus,same department bonus,1
SkillPractice_SameItemBonus,Same 道具 Bonus,matching bonus,1
SkillPractice_PhotoTab,Waiting Room,waiting room,1
SkillPractice_ItemTab,票券,ticket,1
SkillPractice_HavingTextLavel,Held: {0},Possession: {0},1
Training_ConfirmDialogTitle,確認,confirmation,1
Training_ItemConfirmDialogMessage,將使用這些螢光棒進行覺醒。<br>確定要繼續嗎？,將使用這些螢光棒進行覺醒。<br>確定要繼續嗎？,1
Training_CardConfirmDialogMessage,將使用這些螢光棒進行覺醒。<br>確定要繼續嗎？,將使用這些螢光棒進行覺醒。<br>確定要繼續嗎？,1
Training_LackCoinConfirmDialogMessage,<color=#D73C55>不足 Gold</color><br>至 Idolize [{0}] {1}.,[{0}] {1} awakening<br><color =#d73C55> Gold is not enough </color>,1
Training_ItemSettingDialogTitle,Consumable 道具 Settings,Consumer 道具 setting,1
Training_ItemSettingDialogMessage,Set number的required 道具至use.,Set number的consumption的required 道具,1
Training_NeedCount,No。Required,Required number,1
Training_NeedItem,Required 道具,Necessary 道具,1
Training_NoSetting,Not Set,Unanimed,1
Training_MaxLevelAndStatus,Max 等級 & Stats,Maximum 等級與status value,1
Training_EmptyChara,No 成員 can be Idolized.,There is no 成員 who can awaken,1
Training_ItemConfirmDialogLimitNumNote,*曜 can Idolize up至{0} times.,* 曜 can awaken until {0} times,1
Training_ItemAmount,{0},{0},1
Training_ItemAmountOverLimit,{0}+,{0}+,1
Training_SelectThisWay,選擇此方法。,選擇此方法。,1
Training_GoldLack,不足 Gold.,Lack的gold,1
Training_LevelLack,Not at max 等級.,等級 is not largest,1
Training_AwakeningBefore,Before Idolizing,Before awakening,1
Training_AwakeningAfter,After Idolizing,After awakening,1
Training_MaxLv,Max Lv,Max Lv,1
Training_AwakenedMaxShortMessage,Idolized至max 等級.,Awakened至maximum,1
Training_CardEvolveItem,螢光棒,Penlight,1
Training_CardEvolveItemSub1,Idolize 道具,Awakening 道具,1
Training_CardEvolveItemSub2,Idolize 道具,Awakening 道具,1
Training_CardEvolveItemSub3,Idolize 道具,Awakening 道具,1
TrainingResult_TrainingTitle,Idolize Complete,Awakening completion,1
TrainingResult_TrainingMessage,Idolized!,Awakening has been completed,1
TrainingResult_EpisodeTitle,劇情 Completion Bonus,劇情 achievement bonus,1
TrainingResult_EpisodeMessage,Successfully unlocked 劇情<br>為 [{0}] {1}.,[{0}] I succeeded於releasing 劇情的{1},1
TrainingResult_ReleaseMovieTitle,,,1
TrainingResult_ReleaseMovieMessage,,,1
StatusUpResult_EpisodeTitle,劇情 Completion Bonus,劇情 achievement bonus,1
StatusUpResult_Message,{0}'s stats<br>have been 提升!,status的{0} has been uploaded,1
CardDetail_EpisodeUnlockConfirm,"使用 following 道具至unlock 劇情，""{0}""?",Do you use following 道具與release 劇情 '{0}'?,1
CardDetail_EpisodeUnlockLevel,Unlock conditions: Raise 成員 Lv。至 {0} 或 higher.,Liberation Conditions: 成員 Lv {0} 或 higher,1
CardDetail_EpisodeUnlockNeedNum,No。Required: {0},Necessary number: {0},1
CardDetail_EpisodeUnlockHaveNum,No。Held: {0},Number的possession: {0},1
CardDetail_EpisodeUnlockLackMaterial,<color=#D73C55>不足 materials.</color>,<color =#d73C55> Lack的material 道具 </color>,1
CardDetail_EpisodeUnlockLackLevel,<color=#D73C55>成員 等級 is too low.<br>Current: Lv。{0} / Required: Lv。{1}</color>,<color =#d73C55> 等級 等級 is not enough<br>Currently lv。{0} / Required Lv。{1} < / color>,1
CardDetail_EpisodeUnlockLackGold,<color=#D73C55>不足 Gold.</color>,<color =#d73C55> There is lack的necessary gold </color>,1
CardDetail_UnlockEpisodePlayConfirmDialogTitle,劇情 Unlocked,劇情 release is completed,1
CardDetail_UnlockEpisodePlayConfirmDialogMessage,"""0}""<br>has been unlocked.<br>Read it now?",劇情 '{0}' has been released<br> <br>Do you read as it is?,1
CardDetail_EpisodePlayConfirmDialogTitle,劇情,劇情,1
CardDetail_EpisodePlayConfirmDialogMessage,"Read 劇情,<br>""{0}""?",Do you read 劇情 '{0}'?,1
CardDetail_ChangeIllustButton,Change Illustration,Illustration change,1
CardDetail_ExpansionButton,Expand,expansion,1
CardDetail_LevelWord,等級,等級,1
CardDetail_ExpWord,下一步:,After,1
CardDetail_Max,MAX,MAX,1
CardDetail_MemberDetailButton,成員 Details,Details的成員,1
CardDetail_PracticeButton,練習,練習,1
CardDetail_TrainingButton,Idolize,Awakening,1
CardDetail_SkillPracticeButton,Skill 練習,Skill 練習,1
CardDetail_CardNormal,普通,usually,1
CardDetail_Favorite,Favorite,favorite,1
CardDetail_Animation,Animation,anime,1
CardDetail_Effect,Cutscene,Directing,1
CardDetail_Status,Stats,status,1
CardDetail_Profile,Profile,profile,1
CardDetail_LevelStatus,等級與Stats,等級 status value,1
CardDetail_CenterSkill,Center Skill,Center skill,1
CardDetail_Skill,Skill,Special skill,1
CardDetail_SkillLv,Skill Lv.,Special skill Lv,1
CardDetail_GachaButton,招募,To solicit,1
CardDetail_SchoolYear,School Year,School year,1
CardDetail_Birthday,生日,birthday,1
CardDetail_BloodType,血型,blood type,1
CardDetail_Height,身高,height,1
CardDetail_CharaVoice,VA,聲優,1
CardDetail_SchoolYearInput,Year {0},,1
CardDetail_EpisodeUnlockConfirmDialogTitle,Unlock 劇情,劇情 release confirmation,1
CardDetail_EpisodeRewardDialogTitle,劇情 獎勵,劇情 獎勵,1
CardDetail_SpecialEpisodeRewardDialogTitle,Special 劇情 獎勵,Special 劇情 獎勵,1
CardDetail_EpisodeRewardDialogMessage,獎勵 acquired!<br><color=#D73C55>曜 can claim 你的獎勵s來自禮物箱.</color>,I got 獎勵！<color =#d73C55> 獎勵 can be received來自present </color>,1
CardDetail_EpisodePlayDialogUseVoiceButton,Voices On,There is voice,1
CardDetail_EpisodePlayDialogNoVoiceButton,Voices Off,No voice,1
CardDetail_CharacterEpisodeLevel,劇情 Lv。{0},劇情 Lv。{0},1
CardDetail_CardGetCategoryGacha,招募,Solicitation,1
CardDetail_CardGetCategoryEvent,Events,event,1
CardDetail_CardGetCategoryExchange,道具 Exchange,Exchange,1
CardDetail_CardGetCategoryStory,劇情,劇情,1
CardDetail_CardGetCategoryMission,任務,任務,1
CardDetail_CardGetDetailGacha,Can be 獲得透過{0} 招募!,Available與solicitation '{0}'!,1
CardDetail_CardGetDetailEvent,Can be 獲得來自{0} event!,Available at event '{0}'!,1
CardDetail_CardGetDetailExchange,Can be 獲得來自{0} 道具 Exchange!,Available at 交換 '{0}'!,1
CardDetail_CardGetDetailStory,Can be 獲得來自{0} 劇情!,Available於劇情 '{0}'!,1
CardDetail_CardGetDetailMission,Can be 獲得來自missions!,Available於mission!,1
CardDetail_NoticeLevelMaxDisplay,stats shown are those at max 等級與max Idolized state.,status at maximum的awakening stage / 等級 is 顯示,1
Album_NotCanGet,無法 recruit at this time.,I can't join now,1
Album_GachaCanGet,曜 can recruit this 成員透過<color=#DF4444>招募</color>.,<COLOR =#DF4444> 成員 who can join透過solicitation </color>,1
Album_EventCanGet,曜 can recruit this 成員來自<color=#DF4444>events</color>.,<COLOR =#DF4444> 成員 who can join at event </color>,1
Album_ExchangeCanGet,曜 can recruit this 成員來自<color=#DF4444>道具 Exchange</color>.,<COLOR =#df4444> 成員 who can join與交換 </color>,1
Album_CampaignCanGet,,#VALUE!,1
Album_LoginbonusCanGet,曜 can recruit this 成員來自<color=#DF4444>登入 bonuses</color>.,<COLOR =#DF4444> Login bonus </color>.,1
Album_StoryCanGet,曜 can recruit this 成員來自<color=#DF4444>劇情</color>.,<Color =#df4444> 劇情 </color> is 成員 who can join,1
Album_TrainingCanGet,,#VALUE!,1
Album_MissionCanGet,曜 can recruit this 成員來自<color=#DF4444>missions</color>.,<Color =#df4444> 任務 </color>.,1
Album_BeginnerMissionCanGet,曜 can recruit this 成員來自<color=#DF4444>beginner missions</color>.,<COLOR =#DF4444> 成員 who can join與beginner mission </color>,1
Album_GachaCanNotGet,"new 成員來自""{0}"".<br>曜 cannot recruit her via currently available 招募.",It is new 成員的'{0}'<br>I can not join與solicitation currently being held.,1
Album_EventCanNotGet,new 成員來自{0} event.<br>曜 cannot recruit her via currently available events 或 道具 Exchange.,It is new 成員的event '{0}'.,1
Album_CampaignCanNotGet,成員來自{0} campaign.<br>She is not currently available.,I'm campaign 成員的'{0}'<br>I can't join now,1
Album_GachaOkButton,招募,To solicit,1
Album_EventOkButton,Event Top,To event TOP,1
Album_ExchangeOkButton,道具 Exchange,To 交換,1
Album_StoryOkButton,劇情,To 劇情,1
Album_TrainingOkButton,成員 Details,To details的成員,1
Album_MissionOkButton,任務,To mission,1
Album_DefaultOkButton,確定,確定,1
Album_Empty,No albums.,No album,1
Album_DialogTitle,Sort Albums,Album sorting,1
Album_DialogGetTypeWord,Recruitment Status,Status的joining,1
Album_DialogTrainingTypeWord,Idolize Status,Awakening state,1
Album_DialogGetTypeAll,All,all,1
Album_DialogGetTypeTitle,Held,Possession,1
Album_DialogGetTypeUnlock,Held,Possession,1
Album_DialogGetTypeLock,Not Obtained,Unpalated,1
Album_DialogMovieTypeTitle,Video,movie,1
