_id,_name,_shortName,_kana,_artist,_detailInfo,_dictionaryReference,_dictionaryComment,_bandCategory,_masterGroupId,_jacketImageName,_masterBgmId,_previewMasterBgmId,_locked,_obtainType,_isAcLevelMusic,_releaseDateTime,_masterReleaseLabelId
1020,快樂製造者！,快樂製造者！,ハツヒイメイカア,μ's,作詞：畑亞貴<br>作曲・編曲：前口渉,,全てをやり遂げた達成感が包み込むような、まさに「Happy」な一曲。多幸感を倍増させるアップテンポなリズムとμ'sの持つパワーに引っ張られて體が動き出し、ついつい笑顏になってしまうようなエネルギーを感じる。<br>,1,100,jacket_1023,31001020,32001020,0,0,0,2014/07/09,1
1021,心連心！,心連心！,ハアトトウハアト,μ's,作詞：畑 亞貴<br>作曲・編曲：西岡和哉,スマートフォンゲーム『LoveLive!學園偶像フェスティバル』コラボ單曲,裏打ちのリズムパターンが縦乗りのロックフェスを彷彿とさせるパワフルな積極樂觀ソング。あなたはきっと叶えられるよ、ではなく、一緒に叫んで一緒に叶えていこうよ、というのが實にμ'sらしいメッセージだ。<br>,1,100,jacket_1021,31001021,32001021,0,0,0,2015/10/28,1
1022,你好，數著星星,你好，數著星星,ハロオホシヲカソエテ,"星空 凜(CV.飯田里穗) , 西木野真姬(CV.Pile) , 小泉花陽(CV.久保ユリカ)",作詞：畑 亞貴<br>作曲・編曲：山口朗彦,劇場版『LoveLive!The School Idol Movie』插入曲,劇場版「LoveLive!The School Idol Movie」插入曲。一年生組(まきりんぱな)の可愛らしさが全面にあらわれた樂曲。目の前の不安を吹き飛ばす積極向前な歌曲詞とジャジーで可愛らしい音色の相性も際立っている。,1,199,jacket_1007,31001022,32001022,0,0,0,2015/07/01,1
1023,閃閃發光的感覺！,閃閃發光的感覺！,キラキラセンセエシヨン,μ's,作詞：畑亞貴<br>作曲・編曲：本田光史郎,,μ'sの原点である『開始：衝刺！！』を思わせる衣装、これまでの樂曲を取り入れた振り付け、ファンへの感謝など、集大成と感じさせる曲であるにも関わらず、「夢は夢は終わらない」と更に高みを目指していくμ'sの大きさを強く感じさせる一曲。<br>,1,100,jacket_1023,31001023,32001023,0,0,0,2014/07/09,1
1024,聽聽我的心！！,聽聽我的心！！,リツスントウウマイハアト,"矢澤にこ( CV.徳井青空) , 星空凜( CV.飯田里穗) , 小泉花陽( CV.久保ユリカ)",作詞：畑 亞貴<br>作曲・編曲：河原嶺旭,,インターネットラジオ「ラブライ部 ラジオ課外活動 妮可 凜 Pana」主題曲。ラジオ番組をそのまま歌曲ったような樂しい曲で、成員の名前や担当キャストの名前を歌曲詞に入れるなど、随所に遊び心を感じる構成になっている。妮可 凜 Panaがジャケットで着ているのは音ノ木坂學院の指定ジャージ。,1,199,jacket_1024,31001024,32001024,0,0,0,2012/10/17,1
1025,最寂寞的寶貝,最寂寞的寶貝,ロンリエストヘイヒイ,μ's,作詞：畑 亞貴<br>作曲・編曲：倉内達矢,,TV動畫「LoveLive!」Blu-ray特典曲。ミドルテンポのFunk/Discoサウンド氣持ちよいダンスチューン。サビでは「ダイスキ」のストレートなフレーズでリスナーを惹きつける。,1,100,jacket_1025,31001025,32001025,0,0,0,2013/09/25,1
1026,邊緣之愛,邊緣之愛,ラフマアシナル,Printemps,"作詞：畑 亞貴<br>作曲：藤末 樹<br>編曲：藤末 樹 , 松坂 康司",,Printemps デビュー單曲。學生時代ならではの切實な戀愛の心境についての歌曲詞が心を打つラブソング。90年代J-POPへのリスペクトも感じさせる樂曲展開とシンセサイザーの音色も必聴。,1,101,jacket_1026,31001026,32001026,0,0,0,2011/05/25,1
1027,愛之翼鈴,愛之翼鈴,ラフウインクヘル,"星空 凜(CV.飯田里穗) , 西木野真姬(CV.Pile) , 小泉花陽(CV.久保ユリカ) , 絢瀨繪里(CV.南條愛乃) , 東條 希(CV.楠田亜衣奈) , 矢澤にこ(CV.徳井青空)",作詞：畑 亞貴<br>作曲・編曲：森慎太郎,TV動畫『LoveLive!』2期　第5話插入曲,『LoveLive!』TV動畫2期でウェディングドレスのモデルとして立った凜に合わせた結婚式風の樂曲。かわいくなりたいが自分には無理と否定してきた凜が「さぁ明日はどんな私？」と歌曲う成長した姿が印象的。<br>,1,199,jacket_1027,31001027,32001027,0,0,0,2014/06/11,1
1028,無愛世界,無愛世界,ラフレスワアルト,μ's,作詞：畑亞貴<br>作曲：山田高弘<br>編曲：河田貴央,,複雑な氣持ちが激しくぶつかりあい、すべてが焼き尽くされそうな歌曲詞が心に殘る一曲。刻むようなギターとツーバスの響くゴシックメタルの重厚なサウンドで、演唱會でも激しい炎の演出が印象的だった。,1,100,jacket_1033,31001028,32001028,0,0,0,2013/11/27,1
1029,人魚祭典 第1卷,人魚祭典 第1卷,マアメイトフエスタホリユウムワン,μ's,作詞：畑 亞貴<br>作曲：俊龍<br>編曲：渡邊和紀,,μ's 3rd單曲C/W 曲。大人びた情熱的なフラメンコ調の曲にあわせ、サビのゆらゆら揺れる手の振り付けが人魚を思わせる。大人ぶって誘ってみても「裸足で書いた砂の記号／さかさまにすれば I love you」と、自分の氣持ちがあふれ出してしまうのが愛らしい。,1,100,jacket_1029,31001029,32001029,0,0,0,2011/08/24,1
1030,人魚祭典 第2卷 ～熱情～,人魚祭典 第2卷 ～熱情～,マアメイトフエスタホリユウムトウ,"高坂穗乃果(CV.新田恵海) , 星空 凜(CV.飯田里穗)",作詞：畑 亞貴<br>作曲：山崎真吾<br>編曲：松井 望,,穗乃果＆凜によるデュオ單曲第1彈。μ'sの中では見た目が幼い穗乃果と凜が自らを果實に例えて背伸びした歌曲詞と、元氣いっぱいな二人のダンスのギャップにやられてしまう。,1,199,jacket_1030,31001030,32001030,0,0,0,2012/04/25,1
1031,瞬間之環,瞬間之環,モオメントリンク,μ's,作詞：畑 亞貴<br>作曲・編曲：高田 暁,,μ's 最後の單曲。μ’sの活動の締めくくりとなる集大成的樂曲。原点回歸とも言える王道のLoveLive!らしさを中心におきながらもラップパートなど新しい要素も打ち出している。,1,100,jacket_1031,31001031,32001031,0,0,0,2016/03/02,1
1032,想在博物館做什麼？,想在博物館做什麼？,ミユウシアムテトウシタイ,Printemps,作詞：畑亞貴<br>作曲・編曲：増田武史,,始まったばかりの二人が少しすれ違ってしまったのだろうか、心へそっと素直なメッセージを送るエレクトロポップ。いまはまだ何も並んでいない二人のミュージアムに、優しく甘い未来を感じさせる樂曲。,1,101,jacket_1032,31001032,32001032,0,0,0,2015/05/23,1
1033,音樂 開始！！,音樂 開始！！,ミユウシツクスタアト,μ's,作詞：畑 亞貴<br>作曲・編曲：山口朗彦,,μ'sがステージに上がる前の掛け聲を想起する曲名の樂曲。みんなで踊れるサビの振り付けにハマった人も多いはず。PVのパジャマは實はTV動畫『LoveLive!』2期12話にも登場している。<br>,1,100,jacket_1033,31001033,32001033,0,0,0,2013/11/27,1
1035,無名女孩,無名女孩,ノオフラントカアルス,μ's,作詞：畑 亞貴<br>作曲・編曲：河田貴央,TV動畫『LoveLive!』1話　第11話插入曲,TV動畫「LoveLive!」1期11話插入曲。TV動畫にて雨の中での演唱會場景も強烈な印象を殘した。演唱會衣装とともに曲調もハードロックテイスト「ハイハイハイ！」の掛け聲で演唱會での盛り上がりも最高潮に達する。,1,100,jacket_1035,31001035,32001035,0,0,0,2013/04/03,1
1037,無出口獵戶座,無出口獵戶座,ノオエクシツトオリオン,Printemps,作詞：畑 亞貴<br>作曲・編曲：山田龍平,,いつも元氣なPrintempsには珍しく、ゴシック調のパイプオルガンやギターが響くシリアスなロックチューン。オリオン座が光る冬の空に、想いの熱さと空氣の寒さの対比して表現している歌曲詞が秀逸。,1,101,jacket_1061,31001037,32001037,0,0,0,2015/11/25,1
1038,噢，愛與和平！,噢，愛與和平！,オオラフアントヒイス,μ's,作詞：畑 亞貴<br>作曲・編曲：黑須克彦,,μ's 5th單曲C/W 曲。TV動畫2期第13話のエンディングの印象が強く、卒業してもひとりじゃない、一人で活動したとしてもひとりぼっちじゃないというμ'sの強い絆を感じる。μ's曲の中で唯一の花陽センター曲でもある。演唱會では最後に歌曲われることが多かったが、指を3本立てて「Love＆Peace!」として手を振ろう！,1,100,jacket_1038,31001038,32001038,0,0,0,2012/09/05,1
1039,樂園演唱會,樂園演唱會,ハラタイスライフ,μ's,作詞：畑 亞貴<br>作曲・編曲：倉内達矢,スマートフォンゲーム『LoveLive!學園偶像フェスティバル』コラボ單曲,スクフェスを起動したらこの曲、というイメージの方も多いはず。演唱會の終盤、もうすぐ演唱會が終わるけど終わっても次の夢を叶えるために次の演唱會で出會うまでお互いに頑張ろうねという9人からのメッセージが力強い。,1,100,jacket_1081,31001039,32001039,0,0,0,2014/01/29,1
1040,私人戰爭,私人戰爭,フライヘエトウオオス,A-RISE,作詞：畑 亞貴<br>作曲・編曲：板垣祐介,,個としての強さをベースにして、他者を挑發するように自らを鼓舞する歌曲詞とK-POP風の樂曲が凜々しく力強い。『LoveLive!』TV動畫1期1話でそんな姿に衝撃を受けた穗乃果は、學園偶像活動を始めることとなる。<br>,1,104,jacket_1040,31001040,32001040,0,0,0,2013/04/10,1
1041,超能力之火,超能力之火,サイキツクフアイヤ,BiBi,作詞：畑 亞貴<br>作曲・編曲：森慎太郎,スマートフォンゲーム『LoveLive!學園偶像フェスティバル』コラボ單曲,「にこ、真姬、エリーチカ！」、BiBiパワーパート、にこによるBiBiコールなど、これまでの演唱會で行われてきたあらゆるBiBi要素の詰まった集大成的な曲。演唱會でもBiBiの３人がはしゃいで會場中を巻き込んで盛り上がった。,1,103,jacket_1110,31001041,32001041,0,0,0,2016/01/20,1
1042,純真女孩企劃,純真女孩企劃,ヒユアカアルスフロシエクト,Printemps,作詞：畑 亞貴<br>作曲・編曲：倉内達矢,,性格や意見が違っても一緒に冒險していく仲間として認めあってお互いの友情を確かめ合う、Printempsらしさ全開の積極向前な樂曲。リミックスであるSuper-Mondo Mixとの聴き比べも樂しい。<br>,1,101,jacket_1042,31001042,32001042,0,0,0,2013/08/21,1
1044,感傷步伐,感傷步伐,センチメンタルステツフス,μ's,作詞：畑 亞貴<br>作曲：高阪昌至<br>編曲：清水哲平,,時計の音から始まるイントロが印象的な、時の移ろいと周りの人達に思いを馳せたちょっぴりセンチメンタルな曲。聴いている人にとっても当時から時が経つに従って、静かに心を打つような曲に育っていくはず。<br>,1,100,jacket_1095,31001044,32001044,0,0,0,2014/05/28,1
1045,香格里拉驟雨,香格里拉驟雨,シヤンクリラシヤワア,μ's,作詞：畑 亞貴<br>作曲・編曲：倉内達矢,PSVita『LoveLive!School idol paradise』主題歌曲,夏の演唱會ステージを朝から晩まで一緒に歌曲って踊って樂しもうね！という演唱會の喜びを樂しい振り付けとともに届ける樂曲。演唱會では冒頭から特徴的な振り付けをしながら會場中が跳ねて歌曲う、一體感が最高。,1,100,jacket_1045,31001045,32001045,0,0,0,2014/10/01,1
1046,震撼派對,震撼派對,シヨツキンクハアテイイ,A-RISE,作詞：畑 亞貴<br>作曲・編曲：板垣祐介,,あなたは自由だ、あなたの人生の主役はあなただ、他人任せじゃなく自分の責任で強氣でどんどん進んでゆけ、という力強いメッセージをスタイリッシュに投げかける樂曲。道を開拓してきた第一人者・A-RISEの強さを感じる。,1,104,jacket_1046,31001046,32001046,0,0,0,2014/08/27,1
1047,今晚寂靜,今晚寂靜,サイレントトウナイト,BiBi,作詞：畑亞貴<br>作曲・編曲：佐々木裕,,いつもは賑やかなBiBiがいつになくしっとり歌曲い上げる本格バラード。頑張るひとをそばで支えたい氣持ち、深い優しさが染み渡る樂曲。歌曲詞の「ふたり」を祝福するかのような多幸感の溢れる音色が心地よい。,1,103,jacket_1047,31001047,32001047,0,0,0,2014/12/25,1
1048,雪色光暈,雪色光暈,スノオハレエシヨン,μ's,作詞：畑 亞貴<br>作曲：山田高弘<br>編曲：中西亮輔,TV動畫『LoveLive!』2期　第9話插入曲,アーティスト「μ's」として初めて發賣された2nd單曲。TV動畫『LoveLive!』2期 第9話では成員の「大好き」を歌曲に乗せたように、演唱會では大サビで一斉にラブ演唱會レードの色をオレンジに変えるのが定番になっている。,1,100,jacket_1048,31001048,32001048,0,0,0,2010/12/22,1
1049,士兵遊戲,士兵遊戲,ソルシヤアケエム,"西木野真姬( CV.Pile) , 園田海未( CV.三森すずこ) , 絢瀨繪里( CV.南條愛乃)",作詞：畑 亞貴<br>作曲・編曲：若林 充,,トリオ單曲。意外な組み合わせの３人のハーモニーが新鮮。ファンキーなカッティングやラテンチックなパーカッションから感じるパッションが心地よいディスコダンスチューン。,1,199,jacket_1049,31001049,32001049,0,0,0,2012/07/25,1
1050,我人生中的某一天,我人生中的某一天,サムテイオフマイライフ,高坂穗乃果(CV.新田恵海),作詞：畑 亞貴<br>作曲・編曲：八重樫ゆう一,,離れ離れになってしまった相手と從今以後ももっと一緒に夢を追いかけていきたい、という思いと、向き合わなければならない別れの予感の間に挟まれる心情が切ない歌曲詞。ドラムマシンの響くエレクトロポップの上で真っ直ぐと歌曲い上げる力強さが勇氣をもらえる一曲。<br>,1,190,jacket_1030,31001050,32001050,0,0,0,2012/04/25,1
1054,開始：衝刺！！,開始：衝刺！！,スタアトタツシユキユウニンハン,μ's,作詞：畑 亞貴<br>作曲・編曲：佐々木裕,TV動畫『LoveLive!』1期　第13話插入曲,TV動畫「LoveLive!」1期插入曲。積極樂觀な歌曲詞でありながら、サビで感じるノスタルジックさが印象的。TV動畫1期3話(2年生3人でのμ's初演唱會Ver.)とTV動畫1期13話(μ's 9人での歌曲唱Ver.)で歌曲われるμ'sの步みを感じることができるTV動畫1期の集大成的な樂曲。											,1,100,jacket_1035,31001054,32001054,0,0,0,2013/04/03,1
1055,戀人中的風暴,戀人中的風暴,ストオムインラハア,"園田海未(CV.三森すずこ) , 絢瀨繪里(CV.南條愛乃)",作詞：畑 亞貴<br>作曲・編曲：増田武史,,戀に氣づいてしまった夕暮れの浜邊の情熱的な情景が目に浮かぶような夏真っ盛りのラテンソング。パート分けが交互に掛け合い式になっているところが往年の歌曲謡曲を彷彿とさせる大人の雙人姿勢ソング。<br>,1,199,jacket_1055,31001055,32001055,0,0,0,2014/09/24,1
1057,超級愛＝超級演唱會！,超級愛＝超級演唱會！,スウハアラフスウハアライフ,μ's,作詞：畑 亞貴<br>作曲・編曲：河田 貴央,,盛り上がる曲調が樂しい樂曲だが、「生きる」「愛する」をお互いに表現してひとつになることを中心としている。「μ's Final LoveLive!」では、落ちサビ前に會場全體5萬人のラブ演唱會レードが一糸乱れぬ色変えで美しく盛り上げた。<br>,1,100,jacket_1091,31001057,32001057,0,0,0,2015/04/22,1
1058,甜蜜又甜蜜的假日,甜蜜又甜蜜的假日,スウイイトアントスウイイトホリテイ,Printemps,作詞：畑 亞貴<br>作曲・編曲：山口朗彦,,「Love merginal」C/W 曲。Printempsの3人が休みの日にそれぞれの戀バナを持ち寄っておしゃべりしている光景が目に浮かぶよう。,1,101,jacket_1026,31001058,32001058,0,0,0,2011/05/25,1
1059,麻煩剋星,麻煩剋星,トラフルハスタアス,BiBi,作詞：畑亞貴<br>作曲：佐々倉有吾<br>編曲：倉内達矢,スマートフォンゲーム『LoveLive!學園偶像フェスティバル』コラボ單曲,失戀した友達をBiBiの3人が明るく励ましてくれる、コミカルユニット(?)の一面もあるBiBiの真骨頂とも言える樂しい元氣ソング。演唱會ではトロッコの上からバズーカ型のスモークマシンで會場を混乱と笑いの渦に捲入。<br>,1,103,jacket_1119,31001059,32001059,0,0,0,2014/12/24,1
1060,失衡之愛,失衡之愛,アンハランストラフ,Printemps,作詞：畑 亞貴<br>作曲・編曲：佐伯高志,,Printempsの持つ女の子らしさが前面に出ている切ない戀愛ソング。歌曲詞のリアルな葛藤が聴く者の胸を締め付ける。キラキラとしたユーロビートベースの樂曲は懐かしくもあり、リバイバルポップスとしての新鮮さもある。<br>,1,101,jacket_1042,31001060,32001060,0,0,0,2013/08/21,1
1061,哇喔哇喔 強力的一天！,哇喔哇喔 強力的一天！,ワオワオハワフルテイ,Printemps,作詞：畑 亞貴<br>作曲・編曲：佐々木裕,,起床即全力ダッシュの元氣いっぱいパワフルソング。櫻の花溢れるジャケット通りの清爽的スピード感が魅力。演唱會の振り付けも手が前後左右に忙しく動き回り、何でもやりたいという歌曲詞とマッチしている。<br>,1,101,jacket_1061,31001061,32001061,0,0,0,2015/11/25,1
1062,狂野群星,狂野群星,ワイルトスタアス,μ's,作詞：畑 亞貴<br>作曲・編曲：高田 暁,,「我們活在當下」カップリング。大人の戀愛をテーマとしてお互いの関係性を夜空の星になぞっている。演唱會ではペアを想定した振り付けがある。いつもより大人びた歌曲い方のそれぞれのソロパートにも注目。,1,100,jacket_1124,31001062,32001062,0,0,0,2013/01/23,1
1063,奇妙地帶,奇妙地帶,ワンタアソオン,μ's,作詞：畑 亞貴<br>作曲・編曲：佐々倉有吾,TV動畫『LoveLive!』1期　第9話插入曲,TV動畫『LoveLive!』1期 第9話插入曲。自信を持てなかったμ'sとしての自分と、自信を持てるミナリンスキーとしての自分をどちらも受け入れてくれる秋葉原という街を歌曲った曲。ことりの成長を感じる一曲。,1,100,jacket_1072,31001063,32001063,0,0,0,2013/03/06,1
1064,美妙衝刺,美妙衝刺,ワンタフルラツシユ,μ's,作詞：畑 亞貴<br>作曲・編曲：河田貴央,,μ's 5th 單曲曲。積極向前な歌曲詞、躍動感のあるダンスが以降大きく展開していったμ'sにぴったり。空港に集まった成員の衣装はTV動畫１期第10話に、衝撃を与えたことりの忘れ物の枕は「LoveLive!The School Idol Movie」でも登場する。,1,100,jacket_1064,31001064,32001064,0,0,0,2012/09/05,1
1066,那・個・啊・加・油！,那・個・啊・加・油！,アノネカンハレ,lily white,作詞：畑 亞貴<br>作曲・編曲：青木多果,,lily white 1st單曲C/W 曲。lily white節とも言える昭和歌曲謡テイストの海未センター曲で、真面目でついひとりで解決してしまいそうになる海未を、そばに仲間がいるよ、笑顏で樂しくやろうね、と凜と希がやさしく伴走するような曲になっている。,1,102,jacket_1118,31001066,32001066,0,0,0,2011/07/27,1
1067,平凡悲傷的盡頭,平凡悲傷的盡頭,アリフレタカナシミノハテ,絢瀨繪里(CV.南條愛乃),作詞：畑 亞貴<br>作曲・編曲：佐伯高志,,失戀をテーマにした繪里のソロ曲。切ない心情をリアルに綴った歌曲詞と、サビ前のギターノイズ、真っ直ぐ歌曲い上げる歌曲唱がかっこよさを際立たせる。そんな樂曲の凜々しさに失戀のつらさも吹き飛んでしまうはず。<br>,1,190,jacket_1049,31001067,32001067,0,0,0,2012/07/25,1
1068,一定能聽見青春,一定能聽見青春,キツトセイシユンカキコエル,μ's,作詞：畑 亞貴<br>作曲・編曲：高田 暁,TV動畫『LoveLive!』1期　ED主題歌曲,TV動畫『LoveLive!』1期 ED主題歌曲。アコースティックな曲調に合わせた歌曲割りは基本的に學年ごとになっていて、夢を叶えるためにともに未来へ向かって步む同世代の仲間である各學年の絆を強く感じられる曲。,1,100,jacket_1068,31001068,32001068,0,0,0,2013/02/06,1
1069,明明是你！,明明是你！,キミノクセニ,lily white,作詞：畑 亞貴<br>作曲：杉森 舞<br>編曲：山元祐介,,てっきり友達だと思っていた幼なじみに対する氣持ちが、いつの間にか関係性に変化が出て戀になってしまいそうなことに氣づいて戸惑いを感じる甘く切ない歌曲詞が印象的。2000年臺のJ-POPを彷彿とさせるミディアムチューンで珍しいlily whiteの表情が垣間見える。<br>,1,102,jacket_1121,31001069,32001069,0,0,0,2013/06/26,1
